RandOrder,Expression,Summary
1,(a U b) & (c U d),"b has to be true either in the moment in which the formula is evaluated -and in that case the formula does not constrain the value of a- or at some point in the future -and in that case, a has to be true from the moment the formula is evaluated until the instant before b is true (the formula does not constrain the value of a in the moment in which b is true or after it). In addition, d has to be true either in the moment in which the formula is evaluated -and in that case the formula does not constrain the value of c- or at some point in the future -and in that case, c has to be true from the moment the formula is evaluated until the instant before d is true (the formula does not constrain the value of c in the moment in which d is true or after it)."
2,F(!p & !u),"It is true that, for at least one time in the future, both p and u are false at the same time."
3,(c U a) & (b U a),"Either a or d must eventually become true. Until that happens, b must be true in every state. Once either a or  d becomes true, b no longer needs to hold.
"
4,G a,"Throughout the entire execution of the system, the condition the system is operational must always hold."
5,!X !(w | x),"This formula is true if, in the instant after it is evaluated, at least one between w and x is true. "
6,b U (d & a),"d and a have to be true either in the moment in which the formula is evaluated -and in that case, the formula does not constrain the value of b- or at some point in the future -and in that case, b has to be true from the moment the formula is evaluated until the instant before d and a are true (the formula does not constrain the value of b in the moment in which d and a are true or after it)."
7,X (f & i),"This formula is true if, in the instant after it is evaluated, f and i are both true."
8,G(!a_F z),"If a is false, then at some point z must be true for always"
9,X (y => x & w),"In the instant, after the formula is evaluated, ify is true, x and w also have to be true (if y is false, x and w can assume any value). "
10,X t => X y,"In the next moment of the system execution, if t holds, then y must also hold in that same next moment."
11,X (f & i),"In the very next state, both f  and i must be true."" This formula imposes a constraint only on the next state following the current one. It does not impose any constraints on the current state or any states beyond the next one. The formula is satisfied if both f  and i are true in the next state and violated if either is false."
12,X a & b,"In the instant in which the formula is evaluated, b has to be true, and in the instant after it, a has also to be true. "
13,G (j => !f),"In every state of the system's execution, if j is true, then f must be false. This constraint applies globally, meaning it must hold at every state throughout the entire execution. If there is any state where \( j \) is true and \( f \) is also true, the formula is violated. If \( j \) is false, the formula does not impose any constraint on \( f \) in that state."
14,G a,"The condition a must be true in every state of the execution, starting from the current state and continuing indefinitely into the future. If at any state a becomes false, the formula is violated. Therefore, a imposes a continuous and unending constraint on the system, requiring its truth at all times."
15,t => (x & y),"In any system execution, whenever condition t is true, it must be the case that both conditions x and y are also true."
16,a U c,"Condition a must hold at every moment until condition c becomes true. Once c is true, a does not need to hold anymore."
17,X (f & i)," In the instant, after the formula is evaluated, f and i have both to be true. "
18,a U c,"In summary, the formula a U c requires that c eventually becomes true, and until that happens, a must be true. Once c is true, the constraints on a are lifted, and the formula is considered satisfied.

"
19,G(!a_F z),"It is always true that, if a is false, there must be a time, at least once, in the future where z holds."
20,X a & !G b,"In the next moment of the system execution, a must hold, and there must be at least one moment in the future where b does not hold."
21,!X t,"In the very next state, t must be false."" This imposes a constraint only on the immediate next state following the current one. Once the next state is evaluated, and t is confirmed to be false, the formula is satisfied, and no further constraints are imposed on t in subsequent states. If t is true in the next state, the formula is violated."
22,X a => X c,"This formula is true if, in the instant after it is evaluated, either a is false (and c can be either true or false) or a and c are both true."
23,X a & b,"This formula is true if, in the instant in which it is evaluated, b is true and the instant after it, a is true."
24,G(!q) | G(!m),"At the start of execution, choose q, m, or both to be false throughout the entirety of the execution."
25,X !(t | w),"This formula is true if, in the instant after it is evaluated, both t and and w are false. "
26,G (!f | !i),"In every state of the system's execution, it must be the case that either `f` is false, `i` is false, or both are false. The system must never reach a state where both `f` and `i` are true simultaneously. This constraint applies globally and continuously throughout the entire execution of the system."""
27,F (o | u),"There is at least one point during the system execution (that point can also be the present moment), in which at least one between o and u is true"
28,b U !d,"The formula b U ¬ d is evaluated at a given moment in time. It requires that at some point in the future, ¬ d (meaning ""d is false"") must become true. Until ¬ d becomes true, b must be true in every state from the current state up to, but not including, the state where ¬ d first holds.

"
29,X b => !X d," In the instant, after the formula is evaluated, if b is true, d has to be false (if b is false, d can be either true or false). "
30,X (t | w),"This formula is true if, in the instant after it is evaluated, at least one between t and w is true. "
31,b | !X a,"In the current moment of the system execution, either condition b holds, or in the next moment, condition a should not hold."
32,X t => X y,"If t is true in the very next state, then y must also be true in that next state."" This formula imposes a constraint only on the immediate next state following the current one, and it is satisfied unless t is true and y is false in that next state."
33,G(!q) | G(!m),"Either m is always false, or q is always false, or both"
34,X(!g | !j),"In the next moment of system execution, either g must not hold or j must not hold (or both)"
35,b U (d & a),The condition b should hold at every moment until both d and a hold at the same time.
36,X(!g | !j),"The formula X(!g | !j) requires that in the next state, at least one of g or j must be false. It does not impose constraints on the current state, nor does it enforce any conditions beyond the next state. The formula is satisfied if in the next state either g or j is false (or both). It is violated if, in the next state, both g and j are true."
37,G(c_X G r),"At any point if c holds, then beginning in the next step, r must be true for the remainder of the sequence."
38,G(c_X G r),"It must always be true that 'if c is true, then starting at the next step and onwards, r must always be true."
39,G (!i) | F (f U i),"Either i must always be false throughout the execution, or there must be a future point where i becomes true, with f  being true in every state leading up to that point. If i is always false, the formula is satisfied without further constraints on f . If i eventually becomes true, f must be true until that moment, after which no further constraints are imposed by this formula."""
40,F (f => j),"During the system execution, either f is always false or, in at least one moment, g is true, and at the same time, j is true."
41,X (t & y),"In the next moment of the system execution, both t and y must be true."
42,t => (x & y),"If t is true at any given moment, then both x and y must also be true at that same moment. If t is false, there are no constraints on x and y."" This formula is concerned solely with the immediate truth values of t, x, and y, and does not impose any temporal constraints beyond the current state"
43,G(c_X G r),"It is always true that, if c holds, starting the next moment and continuing forever, r holds"
44,a & X b,"In the instant in which the formula is evaluated, a has to be true, and in the instant after it, b has also to be true. "
45,b U (a | d),"In the system execution, proposition b must hold at every moment until either proposition a or proposition d holds. Once either a or d holds, b is no longer required to hold."
46,X a => X c,"In the instant, after the formula is evaluated, if a is true, c also has to be true (if a is false, c can be either true or false). "
47,X (t | w),"In the instant, after the formula is evaluated, at least one between t and w has to be true "
48,!X !(w | x),"In the next moment of the system execution, at least one of w or x must hold."
49,F (o U u),"There must be a future point where u  becomes true. Until that point, o must be true in every state. Once u is true, there are no further constraints on o or u."" This means that the system must eventually reach a state where u is true, and until then, o must consistently hold."
50,!X t,"In the next moment of the system execution, the condition t should not hold."
51,G(a_F(vUw)),"It is always true that, if a holds, then at at least one future point, v will be true until the moment w becomes true."
52,(b | !a) & X (d U c),"In the instant in which the formula is evaluated, at least one of these conditions has to be true: 1. b is true, 2. a is false, and c has to be true either in the moment after it-and, in that case, the formula does not constrain the value of d- or at some point in the future -and in that case, d has to be true until the instant before c is true (the formula does not constrain the value of c in the moment in which a is true or after it)."
53,X a => X c,"In summary, X a => X c requires that if a is true in the next state, then c must also be true in that same next state. If a is not true in the next state, the formula imposes no constraints on c. The formula's constraints are limited to the transition from the current state to the next state and do not extend beyond that."
54,a U (c & d),"At every moment in the system execution, a must hold until both c and d hold simultaneously."
