,ID,A2,A4,B1,C1,D4,E3,E4,F1,F4,G1,G4,G5,H3,H4
1,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,B,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,C,1,0,1,1,0,1,1,1,0,0,0,0,1,1
4,D,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,E,0,0,1,1,1,1,1,1,1,1,1,1,1,1
6,F,1,1,0,1,1,1,1,1,1,0,1,0,1,1
7,G,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,H,1,1,1,1,1,0,1,1,1,1,1,0,0,1
9,I,1,1,1,1,1,1,1,1,1,1,0,1,1,1
10,J,1,1,1,1,0,1,1,1,1,0,1,1,0,1
11,K,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,L,1,1,1,1,1,0,1,1,1,1,0,1,1,1
13,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,N,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,O,1,1,1,1,1,1,1,1,1,1,1,1,0,1
16,P,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,Q,1,1,1,1,1,1,1,1,1,1,1,1,0,0
