"","ID","A2","A4","B1","C1","D4","E3","E4","F1","F4","G1","G2_3_TEXT","G4","G5","H3","H4"
"1","A","No. a must be false and therefore !a be true from when the formula takes hold, which in this case is from the beginning of the sequence. Even though a becomes false for most of the sequence, a is true at the beginning of the sequence, which violates the formula. ","FFFFFFFFFFFFF","Yes. Correct logic and reasoning. ","Yes. Correct logic & reasoning. Breakdown makes sense. ","Always, if c is true, then from the next step on forever, r must be true","Eventually, both p and u must be false at the same time","p: TTTTF u: TFFTF","Yes. It's the same way I would put it. ","Either q is always false or m is always false or both are always false","Yes. Logic makes sense. ","","If a is false, then at some point z must be true, and this happens whenever a is false throughout the sequence","a:TTTTTT z:FFFFFF","Throughout the sequence, if a is true, then at some point v must be true until u is true","a:FFFFTFFFF v:FFFFFTTTF u:FFFFFFFFT"
"2","B","It does not satisfy the formula. !a must always hold throughout the sequence, so a can never be true. ","a: F F F F F F F F F F F F F F ","Yes, the explanation above is correct. F means that eventually, or at least once at some future point in the sequence, e must be false. ","Yes, the explanation of the formula is correct. It is globally true, or always true, that when p does not hold, in the next step s must be true. Thus, Whenever p does not hold, s must hold in the next step. ","if c is true at any point in the sequence, from the next step onwards, r must always be true. ","At some future point in the sequence p and u must both be false in the same moment. ","p:T T T T T T F T T F F T U:F F T T F T F T F F T T","The explanation is not entirely correct. It should be ""At least one of the following must be true for the entire sequence: q is always false, or m is always false.""","For the entire sequence, m must always be false or q must always be false. ","The explanation of the formula above is correct. It is always true that whenever a is false, then at some point at least once z must be true. ","","It is always true that every time a is false, z must eventually be true at some future point in the sequence. ","a: T T T F T T  Z:  F F F F F T","Whenever a is true, at some future point in the sequence at least once V must be true until W is true. ","a:  F F F T F F T F T  v:  F F F F F T T T F  w: T F T F T F F T T"
"3","C","Since it has an ! in front of a we can assume that the formula should start of as false instead of true","a: F F F F T T T","Yes since it accuretly explains the F temporal property when there is an explanation point in front of the variable. ","Yes because it explains the relationship p and s have in regard to each other and time t.","When c is true at time t, at t + 1, r is also true.","Eventually both p and u do not hold at the same time t. ","p: F F F F F T u: T T T F T T","Yes, this is correct since it clarifies how either m or q can always be false. ","q: F F F F F F m: T T F T  F","No because it doesn't explicitly state how a must always be false. ","doesnt state how a is always false ","a is always false, causing z to eventually become true at some point in the future.","a: F F F F F F F  Z : F T F T F F F","Whenever a is true, v will eventually be true until w is true. ","a: F F F T T T v: any any any T TF w: any any any any T T"
"4","D","No, because a is true several times in the sequence even though it must be globally false. ","a: F F F F F (False all throughout the given time)...","Yes, because it accurately breaks down and rephrases the explanation. ","Yes, because the meaning of each operator is accurate and phrased correctly. ","If at any point C holds then in the next moment and after that r must always hold. ","At some point both p and u must be false. ","p: F F F T T F . . . u: F T T F T F . . .","Yes, because it correctly defines the operators and rephrases the meaning of the formula. ","Either q or m, or both must always be false. ","Yes, because it accurately simplified the meaning of the formula.","","If a is false then eventually z must be true.","a: T T T T F T T . .  z:  F F F F F T F  . .  ","If a is true then eventually v must hold until w eventually holds. ","a: F T F F . . v: F F T T . . w: F F F T . ."
"5","E","Yes, because G(!a) just means that !a must be true in every *future* step, so G(!a) ""activates"" at that 4th interval.","a: T F F F F F F F F F F F","Yes, except by calling it ""finally"" instead of ""eventually,"" it sort of implies that it is the final step or that the system is depending entirely on !e holding. It is correct but could be misleading; ""eventually"" is a better way to refer to it! Thats just my opinion. Same with referring to it as ""at least once"". ","Yes. Whenever P does not hold, s must hold in the next step is true, although I would phrase it as any time P is false, s must be true in the next moment.","If at any point c is true, then in the next moment r must always be true going forwards.","at some point, both p and u must both be false ","p: F F F T F* T F T u: T T T F F* T T F","Yes, but I don't think the ""At least one of the following must be true"" is necessary in the refined phrasing, and the ""either"" in the rebuilding section is misleading, since it implies that they both can't be true at the same time. The ""or both"" at the end clarifies it, but it would be the same statement without being sandwiched by clarifiers. ","At all times, q must always be false or m must always be false.","No. Z must eventually be true at some point, but the refined phrasing as well as ""hen z must eventually hold in the future"" implies that z will always be true after that point. Z must be true at some point, but it doesn't need to ""become"" true. Z could also already be true to begin with.","","If at any point, a is false, then eventually z must be true at some point.","a: T T T F T T T T z:  T F T T T T T T","At all times, if a is true then eventually v is true until w is true","a: F F F T F F F F F v: T F T F F F T T F w:F T F T F F F F T"
"6","F","No, because G means that the formula must always be true, but we have that it is true in the beginning and then false from now on, therefore, a will be switched but the inconsistency is still present","a: F F F F F F F F F F F","No, because at some point in the future doesn't imply at least once during the execution","Yes, because G means tha it should always be true so whenever p does not hold, s must hold in the next step","G(c⇒X G r)  So if c holds, then starting from the next moment r should always hold, and this should always hold all together","F(!p & !u) - means that at some point in the future both p and u should not hold","p: T T T T T T F F T u: T T T T T T F T F ","Yes, because the formula means that G(!q) or G(!m) must be true to be true in general","Either q is always false or m is always false","No, because a should always be false, not whenever ","","(if a doesn't hold than z must hold eventually in the future) is always holds","a: FFFFFFFF z: FFFFFFTF","G(a⇒F(vUw))   It must always be true that if a holds then at some point in time v holds until w","a: TTTTTTTT v: FFTTTTFFF w: FFFFFFTTT"
"7","G","No, because in the beginning, a was true, but it must be false throughout the entire time in order to satisfy the formula","F F F","Yes. Because F(variable) means that it must be true at least once, and because it's F(!e), that means that at some point, at least one time, e must not be true in order to satisfy the formula, which what the explanation said.","Yes. Because the global operator is outside, so it's acting on everything inside. The inside says !p -> Xs, which means that if p doesn't hold, if p is false, then in the next moment s must be true. If p is true, it says nothing. ","It is always true that, if c holds, starting the next moment and continuing forever, r holds.","It is true that, for at least one time in the future, both p and u are false at the same time.","P: T F T F U: F F T T","Yes. Because the or operator is the ""highest"", and then the G operator, so either one variable in G, either !q or !m, always holds, or both always hold. Which is the same as their refined phrasing. But I would put the ""or"" operator first on the breakdown and not last. ","either, q is always false, or m is always false, or q and m are both always false. ","Yes, because it's always true that, if a doesn't hold, then at some point, at least once, z must hold.","","It is always true that, if a is false, there must be a time, at least once, in the future where z holds. ","a: T T T T T T z: F F F F F F","It is always true that, if a holds, then at at least one future point, v will be true until the moment w becomes true. ","a: F T F F F F v: F F F T F T w: F F F F T T"
"8","H","No, because the formula states that it must always be true that 'a' is false. This sequence shows that 'a' is true at some points, therefore, violating the formula.","a: F F F (false from now on)","Yes, because the formula's highest operation is F, meaning the sequence at some point must have 'e' be false.","Yes, because the breakdown is by highest operation and the phrasing is true.","It must be true that whenever c holds, in the next step, r must hold true and will hold true for the rest of the sequence.","At one point in the sequence, p and u must be false.","p: f t f t t f t t f ... u: t t t t t f t f t ...","yes, because it breaks down each operation by highest to lowest.","In the sequence, either q must always be false or m must always be false.","yes, because the implication must always hold, which only matters when a is false.","","When in the sequence 'a' is false, 'z' must eventually be true at some point.","a: f f f f f t t f ... z: f f f t f f t f ...","It must always be true that when a is true, v must eventually always be true until w is true.","a: f f f t f f t f f ... v: t f t f f f t t f ... w: f f t f t f t f t ..."
"9","I","This does not satisfy the formula because the G means that !a must always hold.","a:  F F F F F F F F F F","Yes, I think its correct because it specifies the time (not now) and how it is expressed in simpler terms through breaking down and rebuilding the concepts.","Yes, it uses break down and reconstruction appropriately and builds from the outside in. ","generally, when c holds, the next step r must always hold, must always hold","At some point in the future both p and u must not hold","p:  .... T F F T ....  u:  .... F T F T .... ","Yes, because we can make the assumption of what the value of q and m true making them not holding be expressed as false.","For every future step, either q is always false or m is always false","No, because I think that ""become"" is a bad word to use to express that z will be true at some point in teh future because it implies that you are turning it from false to true for this statement to hold","","Whenever a is true, in some future point z will be true too","a: F F F T F F z: F F F F F T","for every future step, when a holds, at some point v must hold until w eventually holds","a: F F T T T T v:  F F T T T F w: F F F F F T"
"10","J","No, because if a is true, then the parameter is G(False), which does not hold, because it must be G(True) forever. ","a : F F F F F F F F F F...","Yes, because at some future point, e must be false, so that the whole statement is F(True). ","Yes. If !p is false, then the s in the next step must be true. ","If C always holds, then in the next moment, r must always be true. ","At some point in the future, P and U must both be false. ","P: T T T F T  U: F F T F T","Yes. The G means that the statement must always hold and the or symbol means one or the other has to hold. The explanation above makes sense. ","Q must always not hold or M must always not hold or both Q and M must always not hold. ","Not really, I think a can be false, and z must eventually become true but this statement must hold forever. ","","It must always be that if a is false, then z must eventually be true","a: F T T T T z: F F F T F ","If a is true, then eventually, V must hold until W, and this must hold forever. ","a: T F F F F v: F T T F F  w: F F F T T "
