"","ID","A1","A3","B2","B3","B4","C2","C3","C4","D1","D2","D3","E1","E2","F2","F3","G2","G3","H1","H2"
"1","A",2,1,4,2,1,2,2,1,3,5,1,4,1,2,1,2,2,1,3
"2","B",2,1,4,2,1,2,2,1,1,1,1,3,1,2,1,2,2,3,2
"3","C",2,2,4,2,1,1,2,2,3,6,2,4,1,2,1,3,1,3,2
"4","D",2,1,4,2,1,2,2,1,3,5,1,4,1,2,1,2,2,1,2
"5","E",2,3,4,2,2,2,2,1,3,5,1,4,1,2,1,2,2,1,3
"6","F",2,1,3,2,2,2,2,1,1,1,2,4,1,2,2,2,1,3,3
"7","G",2,1,4,2,1,2,2,1,3,5,1,4,1,2,1,2,2,1,3
"8","H",2,1,4,2,1,2,2,1,3,5,1,4,1,2,1,2,2,1,3
"9","I",2,1,4,2,1,2,1,2,1,6,1,4,1,2,1,2,2,1,1
"10","J",2,1,2,2,1,2,2,1,1,6,2,4,1,2,1,2,2,3,3
"11","K",2,1,2,2,1,2,2,1,3,5,1,4,1,2,1,2,2,1,2
"12","L",2,1,4,2,1,2,2,1,1,5,2,4,1,2,1,2,2,1,2
"13","M",2,1,4,2,1,2,2,1,3,5,1,4,1,2,1,2,2,1,3
"14","N",2,1,4,2,1,3,2,2,1,6,2,4,1,2,1,2,2,3,2
"15","O",2,1,4,2,1,2,2,1,3,5,1,4,1,2,1,2,2,3,3
"16","P",2,1,4,2,1,2,2,1,3,5,1,4,1,2,1,2,2,1,2
"17","Q",2,1,4,2,1,2,2,1,3,5,1,4,1,2,1,2,2,NA,NA
