ORG_Order,ID,Expression,Expr_Num,Source
1,LLM-OG-1,X a => X c,1,LLM_Org
2,LLM-OG-2,X b => !X d,2,LLM_Org
3,LLM-OG-3,a & X b,3,LLM_Org
4,LLM-OG-4,b | !X a,4,LLM_Org
5,LLM-OG-5,X a & b,5,LLM_Org
6,LLM-OG-6,X !b & d,6,LLM_Org
7,LLM-OG-7,a U c,7,LLM_Org
8,LLM-OG-8,b U !d,8,LLM_Org
9,LLM-OG-9,(c & b) U a,9,LLM_Org
10,LLM-OG-10,(d | !b) U !a,10,LLM_Org
11,LLM-OG-11,a U (b & c),11,LLM_Org
12,LLM-OG-12,b U (a | d),12,LLM_Org
13,LLM-OG-13,(c U a) & (b U a),13,LLM_Org
14,LLM-OG-14,(d U c) | (a U !c),14,LLM_Org
15,LLM-OG-15,G a,15,LLM_Org
16,LLM-OG-16,F !b,16,LLM_Org
17,LLM-OG-17,!G c,17,LLM_Org
18,LLM-OG-18,!F (a & b),18,LLM_Org
19,LLM-OG-19,F (!y & w),19,LLM_Org
20,LLM-OG-20,G t | F w,20,LLM_Org
21,LLM-OG-21,X (t & y),21,LLM_Org
22,LLM-OG-22,!X !(w | x),22,LLM_Org
23,LLM-OG-23,t => w,23,LLM_Org
24,LLM-OG-24,t => (x & y),24,LLM_Org
25,LLM-OG-25,!X t,25,LLM_Org
26,LLM-OG-26,X t => X y,26,LLM_Org
27,LLM-OG-27,X (t | w),27,LLM_Org
28,LLM-OG-28,X (y => x & w),28,LLM_Org
29,LLM-OG-29,F x | F y,29,LLM_Org
30,LLM-OG-30,X a & !G b,30,LLM_Org
31,LLM-OG-31,d & X (c U a),31,LLM_Org
32,LLM-OG-32,(b | !a) & X (d U c),32,LLM_Org
33,LLM-OG-33,(b U c) & (d U !b),33,LLM_Org
34,LLM-OG-34,G (!f | !i),34,LLM_Org
35,LLM-OG-35,F (f => j),35,LLM_Org
36,LLM-OG-36,G (j => !f),36,LLM_Org
37,LLM-OG-37,G (!i) | F (f U i),37,LLM_Org
38,LLM-OG-38,(a U b) & (c U d),38,LLM_Org
39,LLM-OG-39,b U (d & a),39,LLM_Org
40,LLM-OG-40,F (o | u),40,LLM_Org
41,LLM-OG-41,G (n => s),41,LLM_Org
42,LLM-OG-42,(y & !d) | (y => d),42,LLM_Org
43,LLM-OG-43,X (f & i),43,LLM_Org
44,LLM-OG-44,X(!g | !j),44,LLM_Org
45,LLM-OG-45,X (!i) | X (j),45,LLM_Org
