Student,Formula,Flesch,Dale
A,D,89.08,7.39
B,D,85.02,7.79
C,D,99.57,8.84
D,D,87.05,7.16
E,D,77.57,7.07
F,D,72.5,8.77
G,D,62.68,10.05
H,D,87.39,7.36
I,D,74.19,8.84
J,D,91.11,7.71
K,D,74.53,8.32
L,D,84,8.44
M,D,92.12,7.93
N,D,87.05,6.28
O,D,81.97,7.52
P,D,88.06,7.27
Q,D,81.63,8.59
A,E,84.68,8.18
B,E,87.05,8.04
C,E,83.66,9.14
D,E,112.09,7.29
E,E,111.07,7.05
F,E,96.52,8.19
G,E,99.91,6.88
H,E,101.6,8.18
I,E,100.58,7.93
J,E,100.58,7.93
K,E,97.54,7.39
L,E,113.1,7.59
M,E,100.58,7.93
N,E,79.26,9.35
O,E,63.7,9.36
P,E,96.52,7.27
Q,E,71.82,9.95
A,F,81.63,6.49
B,F,81.63,8.59
C,F,109.04,9.14
D,F,95.17,7.29
E,F,99.57,7.71
F,F,86.71,7.29
G,F,87.05,6.28
H,F,81.63,7.54
I,F,74.19,7.71
J,F,85.02,6.21
K,F,78.59,7.16
L,F,88.06,6.34
M,F,84.68,6.86
N,F,87.05,5.41
O,F,94.15,7.05
P,F,60.65,8.73
Q,F,81.63,7.54
A,G,82.99,7.6
B,G,66.07,7.6
C,G,63.7,8.38
D,G,78.25,7.29
E,G,80.62,6.4
F,G,64.71,8.59
G,G,90.43,6.84
H,G,81.63,8.59
I,G,92.12,6.71
J,G,81.63,6.49
K,G,96.52,6.34
L,G,99.57,5.46
M,G,98.55,6.49
N,G,79.6,6.34
O,G,80.62,6.4
P,G,94.49,6.24
Q,G,107.01,5.43
A,H,86.03,7.9
B,H,74.53,7.6
C,H,49.82,7.93
D,H,41.36,9.14
E,H,72.16,8.38
F,H,85.02,9.37
G,H,71.48,8.03
H,H,59.64,7
I,H,54.22,9.12
J,H,55.24,8.38
K,H,79.94,7.4
L,H,64.71,8.59
M,H,84,6.93
N,H,70.13,7.16
O,H,68.1,7
P,H,72.5,6.8
